run_tag,n,operation,count,total_ms,avg_ms,median_ms,p95_ms,per_device_ms
1778661575327_10,10,RegisterDevice,10,20991.341,2099.134,2102.402,2140.698,2099.134
1778661575327_10,10,RegisterEdge,1,2194.597,2194.597,2194.597,2194.597,2194.597
1778661575327_10,10,QueryDevice,10,206.604,20.660,20.454,25.493,20.660
1778661575327_10,10,QueryDevices,1,57.614,57.614,57.614,57.614,5.761
1778661575327_10,10,UpdateDevice,10,21296.781,2129.678,2114.426,2199.327,2129.678
1778661575327_10,10,RevokeDevice,10,21100.081,2110.008,2094.462,2203.168,2110.008
1778661645976_25,25,RegisterDevice,25,53049.578,2121.983,2102.701,2217.231,2121.983
1778661645976_25,25,RegisterEdge,1,2212.928,2212.928,2212.928,2212.928,2212.928
1778661645976_25,25,QueryDevice,25,482.033,19.281,18.947,23.521,19.281
1778661645976_25,25,QueryDevices,1,103.917,103.917,103.917,103.917,4.157
1778661645976_25,25,UpdateDevice,25,52923.910,2116.956,2106.905,2182.883,2116.956
1778661645976_25,25,RevokeDevice,25,52730.800,2109.232,2087.808,2223.456,2109.232
1778661811910_50,50,RegisterDevice,50,105144.766,2102.895,2088.788,2200.730,2102.895
1778661811910_50,50,RegisterEdge,1,2221.197,2221.197,2221.197,2221.197,2221.197
1778661811910_50,50,QueryDevice,50,1008.336,20.167,17.336,26.711,20.167
1778661811910_50,50,QueryDevices,1,149.179,149.179,149.179,149.179,2.984
1778661811910_50,50,UpdateDevice,50,105542.512,2110.850,2087.797,2210.091,2110.850
1778661811910_50,50,RevokeDevice,50,104903.796,2098.076,2088.949,2188.808,2098.076
1778662135243_100,100,RegisterDevice,100,210186.712,2101.867,2085.624,2206.457,2101.867
1778662135243_100,100,RegisterEdge,1,2100.411,2100.411,2100.411,2100.411,2100.411
1778662135243_100,100,QueryDevice,100,1998.545,19.985,15.901,33.063,19.985
1778662135243_100,100,QueryDevices,1,193.411,193.411,193.411,193.411,1.934
1778662135243_100,100,UpdateDevice,100,210501.590,2105.016,2085.369,2216.379,2105.016
1778662135243_100,100,RevokeDevice,100,211101.456,2111.015,2089.601,2215.614,2111.015
1778662775642_200,200,RegisterDevice,200,423997.606,2119.988,2082.383,2201.633,2119.988
1778662775642_200,200,RegisterEdge,1,2075.205,2075.205,2075.205,2075.205,2075.205
1778662775642_200,200,QueryDevice,200,3302.091,16.510,14.124,28.061,16.510
1778662775642_200,200,QueryDevices,1,385.665,385.665,385.665,385.665,1.928
1778662775642_200,200,UpdateDevice,200,419664.717,2098.324,2084.358,2207.097,2098.324
1778662775642_200,200,RevokeDevice,200,421277.541,2106.388,2086.289,2220.284,2106.388
